Source,CADDTransit,GlobalRoutingNum,GlobalAccount,GlobalIBAN,GlobalAccountName,GlobalAccountType,GlobalDeposit,GlobalAmount,GlobalBankCountry,GlobalControl,GlobalSwiftCode,GlobalBankName,GlobalBankCity,GlobalRollNumber,GlobalSortCode,GlobalNIBNumber,GlobalBankBranch,BankAgencyName,CADDInstitution,GlobalBranchcode,GlobalDomiciliation,GlobalBankcode,GlobalBankAddress
Target,cust_transitNumer,routingNumber,accountNumber,iban,cust_accountName,cust_accountType,cust_depositType,amount,bankCountry,cust_bankControlKey,businessIdentifierCode,cust_bankName,cust_bankCity,cust_rollNumber,cust_sortCode,cust_nibNumberPRT,cust_bankBranch,cust_agencyName,cust_bankInstitutionCAN,cust_branchCodeFRA,cust_domiciliation,cust_bankCode,cust_bankAddressFRA
Belgium,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brazil ,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bulgaria ,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Canada,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Colombia,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
France,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
Germany,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
India,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Italy,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Morocco ,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0
Netherlands,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Poland ,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Serbia,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
United States,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
